unit: MeV 
spectrum:
4.680467046704670508e-01 1.000000000000000048e-04
4.690468046804680546e-01 1.000000000000000048e-04
4.700469046904690584e-01 1.000000000000000048e-04
4.710470047004700622e-01 1.000000000000000048e-04
4.720471047104710660e-01 1.000000000000000048e-04
4.730472047204720698e-01 1.000000000000000048e-04
4.740473047304730736e-01 1.000000000000000048e-04
4.750474047404740774e-01 1.000000000000000048e-04
4.760475047504750257e-01 1.000000000000000048e-04
4.770476047604760295e-01 1.000000000000000048e-04
4.780477047704770333e-01 1.000000000000000048e-04
4.790478047804780370e-01 1.000000000000000048e-04
4.800479047904790408e-01 1.000000000000000048e-04
4.810480048004800446e-01 1.000000000000000048e-04
4.820481048104810484e-01 1.000000000000000048e-04
4.830482048204820522e-01 1.000000000000000048e-04
4.840483048304830560e-01 1.000000000000000048e-04
4.850484048404840598e-01 1.000000000000000048e-04
4.860485048504850636e-01 1.000000000000000048e-04
4.870486048604860674e-01 1.000000000000000048e-04
4.880487048704870712e-01 1.000000000000000048e-04
4.890488048804880750e-01 1.000000000000000048e-04
4.900489048904890788e-01 1.000000000000000048e-04
4.910490049004900270e-01 1.000000000000000048e-04
4.920491049104910308e-01 1.000000000000000048e-04
4.930492049204920346e-01 1.000000000000000048e-04
4.940493049304930384e-01 1.000000000000000048e-04
4.950494049404940422e-01 1.000000000000000048e-04
4.960495049504950460e-01 1.000000000000000048e-04
4.970496049604960498e-01 1.000000000000000048e-04
4.980497049704970536e-01 1.000000000000000048e-04
4.990498049804980574e-01 1.000000000000000048e-04
5.000499049904990612e-01 1.000000000000000048e-04
5.010500050005000094e-01 1.000000000000000048e-04
5.020501050105010687e-01 1.000000000000000048e-04
5.030502050205020170e-01 1.000000000000000048e-04
5.040503050305030763e-01 1.000000000000000048e-04
5.050504050405040246e-01 1.000000000000000048e-04
5.060505050505050839e-01 1.000000000000000048e-04
5.070506050605060322e-01 1.000000000000000048e-04
5.080507050705070915e-01 1.000000000000000048e-04
5.090508050805080398e-01 1.000000000000000048e-04
5.100509050905090991e-01 1.000000000000000048e-04
5.110510051005100474e-01 1.000000000000000048e-04
5.120511051105111067e-01 1.000000000000000048e-04
5.130512051205120549e-01 1.000000000000000048e-04
5.140513051305130032e-01 1.000000000000000048e-04
5.150514051405140625e-01 1.000000000000000048e-04
5.160515051505150108e-01 1.000000000000000048e-04
5.170516051605160701e-01 1.000000000000000048e-04
5.180517051705170184e-01 1.000000000000000048e-04
5.190518051805180777e-01 1.000000000000000048e-04
5.200519051905190260e-01 1.000000000000000048e-04
5.210520052005200853e-01 1.000000000000000048e-04
5.220521052105210336e-01 1.000000000000000048e-04
5.230522052205220929e-01 1.000000000000000048e-04
5.240523052305230411e-01 1.000000000000000048e-04
5.250524052405241004e-01 1.000000000000000048e-04
5.260525052505250487e-01 1.000000000000000048e-04
5.270526052605261080e-01 1.000000000000000048e-04
5.280527052705270563e-01 1.000000000000000048e-04
5.290528052805280046e-01 1.000000000000000048e-04
5.300529052905290639e-01 1.000000000000000048e-04
5.310530053005300122e-01 1.000000000000000048e-04
5.320531053105310715e-01 1.000000000000000048e-04
5.330532053205320198e-01 1.000000000000000048e-04
5.340533053305330791e-01 1.000000000000000048e-04
5.350534053405340273e-01 1.000000000000000048e-04
5.360535053505350866e-01 1.000000000000000048e-04
5.370536053605360349e-01 1.000000000000000048e-04
5.380537053705370942e-01 1.000000000000000048e-04
5.390538053805380425e-01 1.000000000000000048e-04
