unit: GeV 
spectrum:
6.025020250202502148e-02 1.062693857456165425e+01
6.035010350103501425e-02 1.060165223032261750e+01
6.045000450004500703e-02 1.057645558565756083e+01
6.054990549905499286e-02 1.055134819172246452e+01
6.064980649806498564e-02 1.052632960263444417e+01
6.074970749707497841e-02 1.050139937544737734e+01
6.084960849608496425e-02 1.047655707012782145e+01
6.094950949509495702e-02 1.045180224953110759e+01
6.104941049410494286e-02 1.042713447937774518e+01
6.114931149311493563e-02 1.040255332822995982e+01
6.124921249212492841e-02 1.037805836746856514e+01
6.134911349113491424e-02 1.035364917126997675e+01
6.144901449014490702e-02 1.032932531658351394e+01
6.154891548915489285e-02 1.030508638310886305e+01
6.164881648816488563e-02 1.028093195327380727e+01
6.174871748717487840e-02 1.025686161221215009e+01
6.184861848618486424e-02 1.023287494774187145e+01
6.194851948519485701e-02 1.020897155034344905e+01
6.204842048420484979e-02 1.018515101313846394e+01
6.214832148321483563e-02 1.016141293186833217e+01
6.224822248222482840e-02 1.013775690487330827e+01
6.234812348123481424e-02 1.011418253307163972e+01
6.244802448024480701e-02 1.009068941993896118e+01
6.254792547925479285e-02 1.006727717148785217e+01
6.264782647826477868e-02 1.004394539624762039e+01
6.274772747727477840e-02 1.002069370524425374e+01
6.284762847628476423e-02 9.997521711980589032e+00
6.294752947529475007e-02 9.974429032416637142e+00
6.304743047430474978e-02 9.951415284950114071e+00
6.314733147331473562e-02 9.928480090397178159e+00
6.324723247232472145e-02 9.905623071973300497e+00
6.334713347133472117e-02 9.882843855274346723e+00
6.344703447034470700e-02 9.860142068257861325e+00
6.354693546935469284e-02 9.837517341224460310e+00
6.364683646836467867e-02 9.814969306799470772e+00
6.374673746737467839e-02 9.792497599914694817e+00
6.384663846638466422e-02 9.770101857790374211e+00
6.394653946539465006e-02 9.747781719917302468e+00
6.404644046440464977e-02 9.725536828039121673e+00
6.414634146341463561e-02 9.703366826134768530e+00
6.424624246242462144e-02 9.681271360401099813e+00
6.434614346143462116e-02 9.659250079235665254e+00
6.444604446044460699e-02 9.637302633219656300e+00
6.454594545945459283e-02 9.615428675101004075e+00
6.464584645846459254e-02 9.593627859777612343e+00
6.474574745747457838e-02 9.571899844280816083e+00
6.484564845648456421e-02 9.550244287758888007e+00
6.494554945549455005e-02 9.528660851460799108e+00
6.504545045450454976e-02 9.507149198720057370e+00
6.514535145351453560e-02 9.485708994938736538e+00
6.524525245252452144e-02 9.464339907571629240e+00
6.534515345153452115e-02 9.443041606110552877e+00
6.544505445054450699e-02 9.421813762068810050e+00
6.554495544955449282e-02 9.400656048965764455e+00
6.564485644856449253e-02 9.379568142311580203e+00
6.574475744757447837e-02 9.358549719592106797e+00
6.584465844658446421e-02 9.337600460253861812e+00
6.594455944559446392e-02 9.316720045689203644e+00
6.604446044460444976e-02 9.295908159221598410e+00
6.614436144361443559e-02 9.275164486091034277e+00
6.624426244262442143e-02 9.254488713439567249e+00
6.634416344163442114e-02 9.233880530297007283e+00
6.644406444064440698e-02 9.213339627566710988e+00
6.654396543965439281e-02 9.192865698011530640e+00
6.664386643866439253e-02 9.172458436239853796e+00
6.674376743767437836e-02 9.152117538691806331e+00
6.684366843668436420e-02 9.131842703625558499e+00
6.694356943569436391e-02 9.111633631103748243e+00
6.704347043470434975e-02 9.091490022980043051e+00
6.714337143371433558e-02 9.071411582885819058e+00
6.724327243272433530e-02 9.051398016216927189e+00
6.734317343173432113e-02 9.031449030120640487e+00
6.744307443074430697e-02 9.011564333482642297e+00
6.754297542975429280e-02 8.991743636914195648e+00
6.764287642876429252e-02 8.971986652739381896e+00
6.774277742777427835e-02 8.952293094982486821e+00
